______________________________________________________ 
|     Chave|     Dados|                          Nome|
|.......748|.........0|.......................Emalynn|
|.......748|.........0|.......................Evelynn|
|.......748|.........0|.......................Emelynn|
|.......748|.........0|........................Chosyn|
|.......749|.........0|........................Zeenat|
|.......750|.........0|..........................Pihu|
|.......755|.........0|..........................Oaks|
|.......758|.........0|.....................Charlytte|
|.......759|.........0|.......................Lorenza|
|.......759|.........0|.......................Lorenza|
|.......759|.........0|.......................Lorenza|
|.......759|.........0|.......................Lorenza|
|.......764|.........0|.......................Hollynd|
|.......764|.........0|.......................Kalista|
|.......764|.........0|........................Krysta|
|.......764|.........0|.......................Hollynd|
|.......764|.........0|.......................Hollynd|
|.......767|.........0|..........................Shya|
|.......767|.........0|..........................Siya|
